48,93
52,74
50,79
48,2
44,91
41,94
41,83
39
37,5
35,63
40,94
40,98
34,59
33,25
29,62
28,03
13,64
13,46
11,21
10,34
9,26
11,23
16,74
28,83
40,92
40
32,66
30,57
29,9
29,82
29,06
25,05
26,11
29
29,7
29,27
28,37
25,06
18,26
16,49
11,83
4,72
5,45
3,87
4,69
4,74
13,99
28,12
40,94
41,27
39,94
39,58
39,8
40,05
41,13
43,98
45,29
45,47
49,37
52,76
49,93
43,71
38,98
38,62
34,9
37,23
35,03
34,1
33,01
32,91
34,9
39,91
51,27
54,72
54,52
54,02
53,18
50,23
49,2
48,96
48,25
48,25
51,15
54,7
52,09
46
40,44
40,43
39
36,81
